Direction,Hour,CLF,
N,1,0.23,
N,2,0.2,
N,3,0.18,
N,4,0.16,
N,5,0.14,
N,6,0.34,
N,7,0.41,
N,8,0.46,
N,9,0.53,
N,10,0.59,
N,11,0.65,
N,12,0.7,
N,13,0.73,
N,14,0.75,
N,15,0.76,
N,16,0.74,
N,17,0.75,
N,18,0.79,
N,19,0.61,
N,20,0.5,
N,21,0.42,
N,22,0.36,
N,23,0.31,
N,24,0.27,
NE,1,0.07,
NE,2,0.06,
NE,3,0.06,
NE,4,0.05,
NE,5,0.04,
NE,6,0.21,
NE,7,0.36,
NE,8,0.44,
NE,9,0.45,
NE,10,0.4,
NE,11,0.36,
NE,12,0.33,
NE,13,0.31,
NE,14,0.3,
NE,15,0.28,
NE,16,0.26,
NE,17,0.23,
NE,18,0.21,
NE,19,0.17,
NE,20,0.15,
NE,21,0.13,
NE,22,0.11,
NE,23,0.09,
NE,24,0.08,
E,1,0.07,
E,2,0.06,
E,3,0.06,
E,4,0.05,
E,5,0.05,
E,6,0.18,
E,7,0.33,
E,8,0.44,
E,9,0.5,
E,10,0.51,
E,11,0.46,
E,12,0.39,
E,13,0.35,
E,14,0.31,
E,15,0.29,
E,16,0.26,
E,17,0.23,
E,18,0.21,
E,19,0.17,
E,20,0.15,
E,21,0.13,
E,22,0.11,
E,23,0.1,
E,24,0.08,
SE,1,0.09,
SE,2,0.08,
SE,3,0.07,
SE,4,0.06,
SE,5,0.05,
SE,6,0.14,
SE,7,0.26,
SE,8,0.38,
SE,9,0.48,
SE,10,0.54,
SE,11,0.56,
SE,12,0.51,
SE,13,0.45,
SE,14,0.4,
SE,15,0.36,
SE,16,0.33,
SE,17,0.29,
SE,18,0.25,
SE,19,0.21,
SE,20,0.18,
SE,21,0.16,
SE,22,0.14,
SE,23,0.12,
SE,24,0.1,
S,1,0.12,
S,2,0.11,
S,3,0.09,
S,4,0.08,
S,5,0.07,
S,6,0.08,
S,7,0.11,
S,8,0.14,
S,9,0.21,
S,10,0.31,
S,11,0.42,
S,12,0.52,
S,13,0.57,
S,14,0.58,
S,15,0.53,
S,16,0.47,
S,17,0.41,
S,18,0.36,
S,19,0.29,
S,20,0.25,
S,21,0.21,
S,22,0.18,
S,23,0.16,
S,24,0.14,
SW,1,0.15,
SW,2,0.14,
SW,3,0.12,
SW,4,0.1,
SW,5,0.09,
SW,6,0.09,
SW,7,0.1,
SW,8,0.12,
SW,9,0.13,
SW,10,0.15,
SW,11,0.17,
SW,12,0.23,
SW,13,0.33,
SW,14,0.44,
SW,15,0.53,
SW,16,0.58,
SW,17,0.59,
SW,18,0.53,
SW,19,0.41,
SW,20,0.33,
SW,21,0.28,
SW,22,0.24,
SW,23,0.21,
SW,24,0.18,
W,1,0.15,
W,2,0.13,
W,3,0.11,
W,4,0.1,
W,5,0.09,
W,6,0.09,
W,7,0.09,
W,8,0.1,
W,9,0.11,
W,10,0.12,
W,11,0.13,
W,12,0.14,
W,13,0.19,
W,14,0.29,
W,15,0.4,
W,16,0.5,
W,17,0.56,
W,18,0.55,
W,19,0.41,
W,20,0.33,
W,21,0.27,
W,22,0.23,
W,23,0.2,
W,24,0.17,
NW,1,0.14,
NW,2,0.12,
NW,3,0.11,
NW,4,0.09,
NW,5,0.08,
NW,6,0.09,
NW,7,0.1,
NW,8,0.11,
NW,9,0.13,
NW,10,0.14,
NW,11,0.16,
NW,12,0.17,
NW,13,0.18,
NW,14,0.21,
NW,15,0.3,
NW,16,0.42,
NW,17,0.51,
NW,18,0.54,
NW,19,0.39,
NW,20,0.32,
NW,21,0.26,
NW,22,0.22,
NW,23,0.19,
NW,24,0.16,
