Lat,Month,Direction,LM
8,Apr,N,1.1
8,Apr,NE,1.1
8,Apr,NW,1.1
8,Apr,E,-0.5
8,Apr,W,-0.5
8,Apr,SE,-2.7
8,Apr,SW,-2.7
8,Apr,S,-3.8
8,Apr,HOR,-0.5
8,Aug,N,1.1
8,Aug,NE,1.1
8,Aug,NW,1.1
8,Aug,E,-0.5
8,Aug,W,-0.5
8,Aug,SE,-2.7
8,Aug,SW,-2.7
8,Aug,S,-3.8
8,Aug,HOR,-0.5
8,May,N,3.8
8,May,NE,2.2
8,May,NW,2.2
8,May,E,-1.1
8,May,W,-1.1
8,May,SE,-3.8
8,May,SW,-3.8
8,May,S,-3.8
8,May,HOR,-1.1
8,Jul,N,3.8
8,Jul,NE,2.2
8,Jul,NW,2.2
8,Jul,E,-1.1
8,Jul,W,-1.1
8,Jul,SE,-3.8
8,Jul,SW,-3.8
8,Jul,S,-3.8
8,Jul,HOR,-1.1
8,Jun,N,5
8,Jun,NE,2.2
8,Jun,NW,2.2
8,Jun,E,-1.1
8,Jun,W,-1.1
8,Jun,SE,-4.4
8,Jun,SW,-4.4
8,Jun,S,-3.8
8,Jun,HOR,-1.1
14,Apr,N,-0.1
14,Apr,NE,-0.1
14,Apr,NW,-0.1
14,Apr,E,-0.5
14,Apr,W,-0.5
14,Apr,SE,-1.9
14,Apr,SW,-1.9
14,Apr,S,-3.4
14,Apr,HOR,-0.1
14,Aug,N,-0.1
14,Aug,NE,-0.1
14,Aug,NW,-0.1
14,Aug,E,-0.5
14,Aug,W,-0.5
14,Aug,SE,-1.9
14,Aug,SW,-1.9
14,Aug,S,-3.4
14,Aug,HOR,-0.1
14,May,N,2.6
14,May,NE,1.8
14,May,NW,1.8
14,May,E,-0.7
14,May,W,-0.7
14,May,SE,-3
14,May,SW,-3
14,May,S,-3.8
14,May,HOR,-0.3
14,Jul,N,2.6
14,Jul,NE,1.8
14,Jul,NW,1.8
14,Jul,E,-0.7
14,Jul,W,-0.7
14,Jul,SE,-3
14,Jul,SW,-3
14,Jul,S,-3.8
14,Jul,HOR,-0.3
14,Jun,N,3.7
14,Jun,NE,2.2
14,Jun,NW,2.2
14,Jun,E,-0.7
14,Jun,W,-0.7
14,Jun,SE,-3.6
14,Jun,SW,-3.6
14,Jun,S,-3.8
14,Jun,HOR,-0.3
16,Apr,N,-0.5
16,Apr,NE,-0.5
16,Apr,NW,-0.5
16,Apr,E,-0.5
16,Apr,W,-0.5
16,Apr,SE,-1.6
16,Apr,SW,-1.6
16,Apr,S,-3.3
16,Apr,HOR,0
16,Aug,N,-0.5
16,Aug,NE,-0.5
16,Aug,NW,-0.5
16,Aug,E,-0.5
16,Aug,W,-0.5
16,Aug,SE,-1.6
16,Aug,SW,-1.6
16,Aug,S,-3.3
16,Aug,HOR,0
16,May,N,2.2
16,May,NE,1.6
16,May,NW,1.6
16,May,E,-0.5
16,May,W,-0.5
16,May,SE,-2.7
16,May,SW,-2.7
16,May,S,-3.8
16,May,HOR,0
16,Jul,N,2.2
16,Jul,NE,1.6
16,Jul,NW,1.6
16,Jul,E,-0.5
16,Jul,W,-0.5
16,Jul,SE,-2.7
16,Jul,SW,-2.7
16,Jul,S,-3.8
16,Jul,HOR,0
16,Jun,N,3.3
16,Jun,NE,2.2
16,Jun,NW,2.2
16,Jun,E,-0.5
16,Jun,W,-0.5
16,Jun,SE,-3.3
16,Jun,SW,-3.3
16,Jun,S,-3.8
16,Jun,HOR,0
19,Apr,N,-0.7
19,Apr,NE,-0.3
19,Apr,NW,-0.3
19,Apr,E,-0.5
19,Apr,W,-0.5
19,Apr,SE,-1.2
19,Apr,SW,-1.2
19,Apr,S,-3.3
19,Apr,HOR,0
19,Aug,N,-0.7
19,Aug,NE,-0.3
19,Aug,NW,-0.3
19,Aug,E,-0.5
19,Aug,W,-0.5
19,Aug,SE,-1.2
19,Aug,SW,-1.2
19,Aug,S,-3.3
