Lat,Month,Direction,SHGF
8,Jan,N,101
8,Feb,N,107
8,Mar,N,117
8,Apr,N,139
8,May,N,233
8,Jun,N,284
8,Jul,N,243
8,Aug,N,148
8,Sep,N,120
8,Oct,N,110
8,Nov,N,104
8,Dec,N,98
8,Jan,NE,224
8,Feb,NE,360
8,Mar,NE,492
8,Apr,NE,581
8,May,NE,625
8,Jun,NE,631
8,Jul,NE,615
8,Aug,NE,565
8,Sep,NE,470
8,Oct,NE,353
8,Nov,NE,224
8,Dec,NE,174
8,Jan,NW,224
8,Feb,NW,360
8,Mar,NW,492
8,Apr,NW,581
8,May,NW,625
8,Jun,NW,631
8,Jul,NW,615
8,Aug,NW,565
8,Sep,NW,470
8,Oct,NW,353
8,Nov,NW,224
8,Dec,NW,174
8,Jan,E,707
8,Feb,E,754
8,Mar,E,760
8,Apr,E,710
8,May,E,659
8,Jun,E,631
8,Jul,E,644
8,Aug,E,681
8,Sep,E,726
8,Oct,E,729
8,Nov,E,694
8,Dec,E,678
8,Jan,W,707
8,Feb,W,754
8,Mar,W,760
8,Apr,W,710
8,May,W,659
8,Jun,W,631
8,Jul,W,644
8,Aug,W,681
8,Sep,W,726
8,Oct,W,729
8,Nov,W,694
8,Dec,W,678
8,Jan,SE,764
8,Feb,SE,691
8,Mar,SE,581
8,Apr,SE,423
8,May,SE,306
8,Jun,SE,259
8,Jul,SE,294
8,Aug,SE,404
8,Sep,SE,555
8,Oct,SE,666
8,Nov,SE,735
8,Dec,SE,779
8,Jan,SW,764
8,Feb,SW,691
8,Mar,SW,581
8,Apr,SW,423
8,May,SW,306
8,Jun,SW,259
8,Jul,SW,294
8,Aug,SW,404
8,Sep,SW,555
8,Oct,SW,666
8,Nov,SW,735
8,Dec,SW,779
8,Jan,S,511
8,Feb,S,347
8,Mar,S,174
8,Apr,S,123
8,May,S,120
8,Jun,S,123
8,Jul,S,123
8,Aug,S,129
8,Sep,S,177
8,Oct,S,341
8,Nov,S,505
8,Dec,S,565
8,Jan,HOR,868
8,Feb,HOR,928
8,Mar,HOR,947
8,Apr,HOR,912
8,May,HOR,874
8,Jun,HOR,849
8,Jul,HOR,858
8,Aug,HOR,890
8,Sep,HOR,915
8,Oct,HOR,909
8,Nov,HOR,861
8,Dec,HOR,836
12,Jan,N,98
12,Feb,N,107
12,Mar,N,114
12,Apr,N,126
12,May,N,189
12,Jun,N,237
12,Jul,N,199
12,Aug,N,133
12,Sep,N,117
12,Oct,N,107
