RoofType,Ceiling,Uvalue,Hour,CLTDRoof
Concrete,HaveCeilinggreaterthan,0.391,1,17
Concrete,HaveCeilinggreaterthan,0.391,2,15
Concrete,HaveCeilinggreaterthan,0.391,3,14
Concrete,HaveCeilinggreaterthan,0.391,4,12
Concrete,HaveCeilinggreaterthan,0.391,5,11
Concrete,HaveCeilinggreaterthan,0.391,6,10
Concrete,HaveCeilinggreaterthan,0.391,7,9
Concrete,HaveCeilinggreaterthan,0.391,8,9
Concrete,HaveCeilinggreaterthan,0.391,9,12
Concrete,HaveCeilinggreaterthan,0.391,10,16
Concrete,HaveCeilinggreaterthan,0.391,11,21
Concrete,HaveCeilinggreaterthan,0.391,12,21
Concrete,HaveCeilinggreaterthan,0.391,13,32
Concrete,HaveCeilinggreaterthan,0.391,14,36
Concrete,HaveCeilinggreaterthan,0.391,15,39
Concrete,HaveCeilinggreaterthan,0.391,16,41
Concrete,HaveCeilinggreaterthan,0.391,17,41
Concrete,HaveCeilinggreaterthan,0.391,18,39
Concrete,HaveCeilinggreaterthan,0.391,19,36
Concrete,HaveCeilinggreaterthan,0.391,20,32
Concrete,HaveCeilinggreaterthan,0.391,21,28
Concrete,HaveCeilinggreaterthan,0.391,22,25
Concrete,HaveCeilinggreaterthan,0.391,23,22
Concrete,HaveCeilinggreaterthan,0.391,24,19
Concrete,HaveCeilinglessthan,0.391,1,17
Concrete,HaveCeilinglessthan,0.391,2,15
Concrete,HaveCeilinglessthan,0.391,3,14
Concrete,HaveCeilinglessthan,0.391,4,12
Concrete,HaveCeilinglessthan,0.391,5,11
Concrete,HaveCeilinglessthan,0.391,6,10
Concrete,HaveCeilinglessthan,0.391,7,9
Concrete,HaveCeilinglessthan,0.391,8,9
Concrete,HaveCeilinglessthan,0.391,9,12
Concrete,HaveCeilinglessthan,0.391,10,16
Concrete,HaveCeilinglessthan,0.391,11,21
Concrete,HaveCeilinglessthan,0.391,12,21
Concrete,HaveCeilinglessthan,0.391,13,32
Concrete,HaveCeilinglessthan,0.391,14,36
Concrete,HaveCeilinglessthan,0.391,15,39
Concrete,HaveCeilinglessthan,0.391,16,41
